"(Intercept)","avg_n1","sigma"
0.000749067741867337,1.80955256747129e-05,0.000847888325573081
0.00186610367992963,5.96946950783617e-06,0.000872697816072976
0.00201174685919304,3.47891923324164e-06,0.00113836180863301
0.00183140337054856,3.13962073404212e-06,0.00107365566692994
0.00144233823123033,7.68876622001323e-06,0.00112595662046676
0.0014185153676751,1.2309519364393e-05,0.000908228788918992
0.00105920058350313,1.3340357536947e-05,0.000932531950877475
0.0020451670164013,4.41685341044496e-06,0.00109091106136036
0.0017145794975255,3.16110240608234e-06,0.00107534555680226
0.00113731003265955,1.6994254125129e-05,0.000825278766851197
0.000959095221177529,1.69074916935429e-05,0.000839182697734433
0.00132292987826779,1.14170494416028e-05,0.000954247671501287
0.00162474116091842,1.12150252719584e-05,0.000974246133971716
0.00171729655978057,8.7801724378457e-06,0.000973929577410796
0.00166170289732039,8.73086981577933e-06,0.000974542610521843
0.0014838075168548,8.55242902034893e-06,0.000980865404803238
0.00109721241361402,1.16024516376273e-05,0.000737217606821525
0.00101710657731294,1.51555998232196e-05,0.00124818960510307
0.00118739830573634,1.29354460613664e-05,0.000984826739691909
0.000875253296960971,1.75612616622343e-05,0.00075758837047832
0.000713281804384026,1.76503390782814e-05,0.00075491639103224
0.000813639726661512,1.5805460173873e-05,0.000784662630424528
0.000913880543603395,1.47007404817643e-05,0.000801966195430046
0.00112886186032799,1.40805374536221e-05,0.000725024938028209
0.000939144114030111,1.39351637475032e-05,0.000733397920996287
0.00151856821122716,1.31328177908376e-05,0.00125046819044002
0.00125426605398032,1.51983115298954e-05,0.00107777354392863
0.00166193155548994,8.27150183881345e-06,0.000933126505944072
0.00140511740941944,1.0338752974754e-05,0.00096622709359075
0.00148232145900343,1.13387381633374e-05,0.0010168554091259
0.00161255331869627,9.95662897378827e-06,0.00117778527049089
0.00158793527561577,8.96659531933572e-06,0.00116689397367266
0.00139808344728936,1.3741090029935e-05,0.000951000292593909
0.00127194758131316,1.37670372056541e-05,0.000953683323096587
0.00121875763537745,1.42556578914777e-05,0.000792987481250026
0.00140200480384178,1.20365894160522e-05,0.00095774603778663
0.00130805226975319,1.16697526626186e-05,0.000938929203567597
0.00131920379486832,1.23328367223479e-05,0.000961147045510476
0.00100751983908035,1.42612914907101e-05,0.000816172781179406
0.00123327644497446,1.29225041790004e-05,0.000966331634438377
0.00136534095813953,9.51618018735671e-06,0.000836353464786602
0.00130759205566334,1.02451615554452e-05,0.000777620224054444
0.00172177431735801,7.70465025530723e-06,0.000763778135249391
0.00157951089015461,8.37586560189179e-06,0.000787314927265301
0.000943713796281902,1.65495812930017e-05,0.00077801850079498
0.000785052079490734,1.65529667880002e-05,0.000779483061360256
0.000949720904338479,1.6513183535945e-05,0.00078149723055634
0.00151489091125803,1.05644183754804e-05,0.000736711890661239
0.00127372838321978,1.14330342796397e-05,0.00087063949826258
0.00140583461620671,8.77306971662976e-06,0.00091759530558342
0.00192501945928621,6.24420836848002e-06,0.00103770785697828
0.00125830519218395,1.54538975472404e-05,0.00087058769057395
0.000872239218279551,1.50939213992109e-05,0.000879400700836427
0.00164741294787803,7.92136900232628e-06,0.000862206594973422
0.00169176737867883,6.48318332374289e-06,0.000852429355588241
0.00157889461272003,8.37895684422304e-06,0.000644275796988495
0.000750647679049296,1.86636252188359e-05,0.00127943097114878
0.0016988189812512,6.68898148929309e-06,0.000787023760503388
0.00173524741443597,5.789542726625e-06,0.00131466687849768
0.000899780283641972,1.69732352431023e-05,0.000718411438562023
0.000853426290013915,1.70072663977725e-05,0.000716780373940618
0.000819855764762945,1.6993623372224e-05,0.000716993914959218
0.00146534528385666,4.06321321718533e-06,0.00100188124006666
0.00182262608523183,7.64466401933985e-06,0.000941217467336285
0.00142418510762692,1.08202819228683e-05,0.000939055860123024
0.00123885669680263,1.06961410060439e-05,0.000893772377637252
0.00111741613870679,1.25843319447443e-05,0.000950716799611187
0.00171174137392261,9.91757945435029e-06,0.000753191338361691
0.00156369288038375,9.89084339534222e-06,0.000758919543766988
0.00155543656608135,8.60475287229746e-06,0.000953471396900076
0.00185048277165344,1.02035300702379e-05,0.000961045619973748
0.00120463778977258,1.09603496379849e-05,0.000794616035668993
0.00124152205777764,1.14204246389795e-05,0.00101910006332389
0.00145798382207981,1.05745440816852e-05,0.00089919684420325
0.00122573416152018,1.44765271042847e-05,0.00096402624121145
0.00136527407141705,9.44066376484756e-06,0.000960143135537082
0.00105963051713999,8.43916011413184e-06,0.000958530625773197
0.00152997740920479,9.13527652723904e-06,0.000937437091400658
